the
worried
weeks
coat
closer
hundreds
“my
least
clearly
steal
spent
touch
bottle
written
families
horror
friend
story
chance
cried
vernon’s
listening
lessons
hooch
fall
difficult
shock
goes
hold
hidden
days
crept
racing
landed
broke
potters
edge
underneath
hoping
weasleys
shot
row
agreed
“is
“never
sofa
golden
power
carrying
eat
boat
we’d
tomorrow
neither
may
nodded
baby
keys
myself
size
remembered
outta
ear
girl
umbrella
kind
working
whether
term
busy
sounded
slipped
pockets
lock
“not
halloween
less
earth
“an’
am
indeed
curse
miss
studying
dormitory
chair
none
joined
corridors
throwing
doesn’t
keeper
draco
death
keeping
realize
egg
jerked
mistake
food
during
prefect
crash
question
woke
reminded
headed
bin
locked
surprise
normal
sweater
although
shouldn’t
dangerous
trapdoor
thin
bought
teacher
ice
entrance
clearing
fear
starting
plant
save
windows
invisible
lee
1
holidays
carried
dream
leaky
single
bag
“right
flat
balls
pulling
narrow
step
luck
potion
goblin
“i’ll
barrier
knowing
presents
cross
stairs
business
waved
“did
television
learned
lived
news
steps
exams
gets
facing
“got
stuck
bludger
stars
’
storm
“can’t
stands
son
covered
broomsticks
afraid
dean
breaking
brother
probably
trunk
compartment
quarters
frog
young
noticing
teeth
flavor
eating
job
ravenclaw
ordinary
footsteps
bloody
wing
study
lips
tight
rules
sit
careful
drew
midnight
vault
box
win
“ah
giving
wind
handed
change
opposite
“they
hurry
meant
forbidden
hated
wake
envelope
lady
relief
brown
pieces
parchment
piece
knock
laughed
silent
furious
fight
drink
stick
bowed
jump
slid
parcel
following
twin
needed
water
fly
“nothing
crying
twisted
trembling
frogs
“shut
wanting
haired
sighed
warned
asking
poor
herself
clothes
hang
marble
“sorry
couple
cry
teach
alive
dinner
“i’d
faced
spot
whatever
swallowed
motorcycle
simply
suggested
waving
warning
remembrall
wished
branches
handle
loads
yours
arts
charlie’s
witches
“get
snarled
interested
marched
hate
they’ll
whisper
moving
sorting
care
rushed
drop
thanks
person
toilet
reflection
wandering
bottom
chessmen
cut
wooden
led
summer
sped
worth
damp
sea
shows
nostrils
fun
halfway
houses
knocking
truth
diagon
faded
mention
grass
passageway
lots
dursleys’
force
lead
notice
desperate
“give
often
awake
become
“where
terrified
stool
chasers
laughing
lit
history
joke
brave
shoulders
seats
goblins
yesterday
notes
must’ve
particularly
“you’ll
road
smelting
looks
hissed
players
thirty
hours
noses
grunted
bottles
thirteen
“very
packed
lake
guard
pressed
cake
uniform
“they’re
harder
sick
clutching
angrily
thinks
thousands
piled
crossed
bacon
excellent
muttering
wizard’s
feather
special
finding
shake
flash
“can
waited
ticket
shops
safely
newspaper
entered
stranger
kicked
peering
who’s
rule
shall
dressed
“you’ve
yeah
sometimes
“thanks
alley
solid
tears
quills
murmured
underground
higher
strode
silently
yeh’ve
feast
anywhere
sprang
homework
roll
“snape’s
hiding
lesson
touched
club
charms
swooped
dungeons
slammed
showing
armor
wrapped
gotta
“don’
chuckled
jordan
peered
wonder
hot
attention
anymore
surprised
ways
“everyone
goal
shadows
saturday
stayed
summat
jus’
growled
filled
darkness
worked
slightly
clicked
wants
eagerly
zoo
sweets
seems
longbottom
means
midair
“potter
tap
ignored
erised
dog’s
proud
knight
somethin’
sparks
sharply
needs
boats
shocked
passing
figure
centaur
bye
voldemort’s
sounding
easily
visit
evil
clean
properly
locker
certainly
binoculars
lemon
flames
king’s
flute
hoops
board
posts
curious
imagine
jc
mysterious
overhead
emerald
troll’s
hospital
“snape
everybody
platforms
view
lie
unless
“there
favorite
cheering
possession
restricted
struck
section
drills
vanished
hide
grown
older
itself
difference
beans
cats
cakes
laughter
drove
“she
pig
cheers
tables
ghosts
let’s
stunned
extra
return
plates
exam
she’s
control
mountain
names
losing
lurking
rang
quick
moaned
headless
trophy
youngest
dragged
excitedly
mustache
snout
panted
backward
“we’re
speaking
moonlight
floating
garden
finnigan
tired
dived
dive
hermione’s
wherever
rid
wish
rat
fallen
afford
warm
classes
lily
telephone
crack
human
breathing
wizarding
courage
blankets
stomach
bedroom
join
’cause
“who’s
fixed
nor
shelves
trust
lightning
grab
potter’s
perfect
cleared
er
shooting
they’ve
yellow
grin
clear
h
speed
“of
bill
ministry
clambered
stretched
thrown
moon
pack
hasn’t
desk
mcgonagall’s
below
howling
beneath
cheer
lumpy
speeding
shivered
wrist
planets
doorway
fine
gently
list
“who
completely
“you’d
sausages
repeated
wonderful
gettin’
nothin’
nearest
“stop
reckon
fighting
darkly
wizardry
spells
relieved
“listen
hurrying
chest
leading
scarlet
soft
split
smoke
laugh
blew
pinned
father’s
soccer
computer
training
hungry
voices
hurtled
gang
unusual
opinion
witchcraft
stone’s
mum
short
bald
lower
wood’s
sank
panic
squinting
happens
nerve
sticks
miserably
useful
sprinted
pop
breathe
streaked
oak
upset
tightly
slithering
twitched
bringing
lies
believed
shrieked
ginny
boots
bear
purpose
animals
pretending
exploded
closed
greatest
james
meeting
crossbow
delighted
putting
ropes
wore
lights
abou’
clapping
saved
feathers
swooping
marcus
involved
proper
daylight
fangs
eyed
frightened
eaten
towering
plastic
thank
bell
perfectly
handkerchief
socks
complain
“only
sheets
excuse
11
elixir
helped
yeh’ll
groaned
sun
explained
forced
sixty
werewolf
minds
warmth
places
enormous
brass
photographs
score
office
bring
badly
wings
“yeh
bike
t
herbology
fool
becoming
d
bronze
knuts
coins
meanwhile
scrambled
gamekeeper
reading
romania
present
whistle
strangely
pick
“be
yell
ill
mine
bewitched
grinned
leaning
throat
brilliant
celebrating
rob
dragon’s
imagining
town
it’ll
halt
impressed
skin
captain
wiping
sandwiches
barked
miles
enchantments
excitement
eggs
unwrapped
everywhere
collapsed
“welcome
share
blinked
worst
birds
cards
faster
firs’
who’d
eight
bundle
mark
roast
snowy
trash
possibly
bathroom
winning
tapped
friendly
neat
grew
kid
bits
contact
counter
bellowed
lines
baron
“then
joking
music
filch’s
barely
complained
stare
happily
forever
yourselves
“three
beaming
mumbled
curiously
boa
carry
winked
weak
anxiously
archway
faint
prefects
age
glittering
pretty
mood
“ron
adventure
teams
figg
snare
